--------------------------------------------------------
	Quanta EC Monitor Rev 0.0.0.10 Log file
--------------------------------------------------------
Start LogTime:2020-02-05 09:05:28.435
[ EC Ver :  A12100 ]
[Last ShutDown Cause]: 0x15
[EC Power Table]
-----------------------
|     |	DCMode|	ACMode|
-----------------------
| TYPE|	   4440	    0x0
| Peak|	    102	     61
|OCPOn|	     94	     57
|OCPOf|	     88	     55
-------------------------
[Thermal Table]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      	  CPU  	 Tjmax:	    100    	       	       	  GPU  	       	       	      	      	      	  Thermistor1  	       	       	       	       	  Thermistor2  	       	      |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Step |	HLimit|	LLimit|	Fan_1 |	Fan_2 |		|Step |	HLimit|	LLimit|	Fan_1 |	Fan_2 |		|Step |	HLimit|	LLimit|	Fan_1 |	Fan_2 |		|Step |	HLimit|	LLimit|	Fan_1 |	Fan_2 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0	     56	      0	   1400	      0		      0	      0	      0	      0	      0		      0	      0	      0	      0			      0	      0	      0	      0
      1	     60	     49	   1800	      0		      1	      0	      0	      0	      0		      1	      0	      0	      0			      1	      0	      0	      0
      2	     64	     53	   2000	      0		      2	      0	      0	      0	      0		      2	      0	      0	      0			      2	      0	      0	      0
      3	     68	     57	   2200	      0		      3	      0	      0	      0	      0		      3	      0	      0	      0			      3	      0	      0	      0
      4	    127	     61	   2400	      0		      4	      0	      0	      0	      0
      5	    127	     70	   2600	      0		      5	      0	      0	      0	      0
      6	    127	     85	   2600	      0		      6	      0	      0	      0	      0
      7	      0	      0	      0	      0		      7	      0	      0	      0	      0
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Smart Adapter ID ADC value : 0
System use adapter ADC value : 3
Battery Design Voltage : 7700 mV
Battery Design Capacity : 4440 mAh
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Log Time (ms)	P-State	T_Cause	Bat_Vol	Bat_Cur	Bat_SoC	 OS_SOC	BatTemp	ChrgVol	ChrgCur	Rem_Cap	FullCap	  Sys_I	Sys_IPk	  Sys_W	 Chrg_W	 CPU_W	Status	CPUTemp	GPUTemp	ThrmTmp	ThmTmp1	ThmTmp2	Fan_RPM	Fan2RPM	Chrg_S	Chrg_T	RChgOPT	WChgOPT	BATMISC	BATSta1	BATSta2	Pwr_Flg	 Adp_ID	SDCause	CeVolt1	CeVolt2	CeVolt3	CeVolt4	RealCur	2s_Curr	 2s_CNT	1H_Curr	 1H_CNT	  AD_ID	 AD_AIR	SCI-Event Message	
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
09:05:30:630 	  0/4		   7510	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     43	      0	     32	     31	      5	      0	      0	   0x0c	  1779s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	0x80,
09:05:31:639 	  0/4		   7509	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     43	      0	     32	     31	      5	      0	      0	   0x0c	  1780s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:32:640 	  0/4		   7510	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     43	      0	     32	     31	      5	      0	      0	   0x0c	  1781s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3755	   3759	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:33:642 	  0/4		   7510	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1781s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:34:630 	  0/4		   7509	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1782s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	0x80,
09:05:35:639 	  0/4		   7514	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1783s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3755	   3759	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:36:628 	  0/4		   7514	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1783s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:37:638 	  0/4		   7509	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1784s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:38:632 	  0/4		   7510	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1785s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3755	   3759	      0	    152	      0	      0	      0	      0	      0	      3	
09:05:39:640 	  0/4		   7510	    152	     14	     13	   28.2	   8800	   3640	    576	   4331	      3		    3.4	    1.1		   0x90	     50	      0	     32	     31	      5	      0	      0	   0x0c	  1786s			   0x00	   0x02	   0x01	   0x0b	   0x00	   0x15	      0	   3752	   3757	      0	    152	      0	      0	      0	      0	      0	      3	
